Region,Gender,SubscriptionType,InternetUsageType,CustomerSupportCalls,ContractType,MonthlyCharges,TotalCharges,CallMinutesPerMonth,InternetGBPerMonth,NumberOfSMSPerMonth,TenureMonths,Age
South,Female,Prepaid,Heavy,High,Quarterly,67.07,1099.46,491.55,30.57,46.0,21,60
North-East,Female,Prepaid,Heavy,High,Monthly,56.59,1010.06,452.53,19.43,127.0,55,66
Central,Other,Prepaid,Heavy,Low,Quarterly,71.68,885.91,333.36,43.12,103.0,19,40
West,Other,Postpaid,Heavy,High,Quarterly,54.3,893.73,542.8,33.23,51.0,15,45
North,Female,Prepaid,Heavy,High,Monthly,53.57,444.3,491.48,15.22,98.0,62,50
North,Other,Postpaid,Moderate,Low,Monthly,60.49,317.15,660.37,5.14,92.0,3,43
East,Other,Prepaid,Moderate,Low,Quarterly,52.11,855.67,413.24,15.54,82.0,38,74
East,Male,Prepaid,Moderate,Low,Yearly,67.38,1113.98,599.64,23.68,113.0,54,33
South,Other,Postpaid,Moderate,High,Yearly,35.28,1182.5,463.7,19.91,114.0,21,72
West,Male,Postpaid,Moderate,High,Monthly,47.54,1324.13,513.75,42.31,115.0,60,38
West,Female,Postpaid,Heavy,Medium,Quarterly,60.68,876.25,320.91,33.79,105.0,54,37
North-East,Female,Prepaid,Moderate,Medium,Monthly,52.86,929.16,551.0,38.04,118.0,66,25
North-East,Male,Postpaid,Heavy,Low,Yearly,53.75,1317.99,591.68,38.51,103.0,52,51
North-East,Male,Prepaid,Heavy,Low,Monthly,52.83,1117.48,598.11,34.66,92.0,63,18
East,Male,Prepaid,Moderate,Medium,Quarterly,52.78,806.97,531.23,39.06,89.0,9,72
West,Male,Postpaid,Light,Low,Quarterly,63.84,1221.12,328.41,36.1,113.0,24,23
West,Male,Postpaid,Light,High,Monthly,49.02,952.45,568.65,30.74,112.0,5,31
North,Male,Prepaid,Moderate,High,Quarterly,56.64,1057.03,598.84,20.45,92.0,57,67
East,Male,Prepaid,Moderate,High,Quarterly,46.61,1048.57,559.56,28.61,144.0,68,26
Central,Female,Prepaid,Light,Low,Monthly,85.64,401.18,512.28,16.23,86.0,70,46
East,Male,Postpaid,Light,High,Monthly,47.38,1305.77,418.04,27.09,96.0,29,44
Central,Male,Postpaid,Moderate,Low,Quarterly,45.91,827.41,406.0,31.59,84.0,53,45
North,Female,Postpaid,Light,Low,Monthly,32.89,930.68,575.03,30.68,101.0,35,18
South,Female,Postpaid,Heavy,High,Yearly,60.66,940.41,409.51,39.53,17.0,47,42
West,Male,Prepaid,Light,Low,Quarterly,50.94,1053.16,466.17,27.94,94.0,28,70
North,Male,Prepaid,Light,Medium,Quarterly,34.65,906.4,694.75,32.7,75.0,59,76
West,Other,Prepaid,Moderate,Low,Quarterly,2.92,969.17,403.74,35.31,63.0,46,56
North-East,Male,Prepaid,Heavy,High,Quarterly,68.76,825.84,426.53,31.86,82.0,10,56
South,Other,Postpaid,Heavy,Low,Yearly,58.25,1112.94,460.82,42.96,71.0,49,44
South,Other,Postpaid,Light,Medium,Quarterly,51.2,608.59,646.53,23.35,92.0,17,37
North,Female,Prepaid,Heavy,Medium,Yearly,30.96,783.62,605.51,30.21,63.0,50,45
South,Other,Postpaid,Light,High,Yearly,49.91,860.98,570.0,33.42,81.0,13,29
Central,Male,Postpaid,Heavy,Low,Yearly,55.07,843.59,298.16,31.02,90.0,45,52
South,Other,Prepaid,Moderate,High,Yearly,67.83,777.45,598.17,35.16,91.0,70,32
West,Female,Postpaid,Light,Low,Yearly,73.21,1129.23,603.7,22.95,106.0,58,55
West,Other,Prepaid,Light,Medium,Monthly,46.88,765.35,533.21,47.29,87.0,3,58
West,Other,Prepaid,Light,High,Yearly,56.6,726.89,374.14,48.59,73.0,32,35
West,Other,Prepaid,Moderate,Low,Yearly,33.86,950.39,225.5,40.14,121.0,46,54
Central,Other,Postpaid,Heavy,Low,Monthly,47.01,1224.07,408.49,33.39,79.0,37,32
East,Other,Postpaid,Moderate,Medium,Monthly,49.44,883.7,546.84,35.88,77.0,34,23
North-East,Other,Postpaid,Heavy,Low,Monthly,30.96,759.97,405.81,33.6,115.0,14,75
North,Other,Prepaid,Light,Medium,Monthly,25.15,656.91,466.9,31.44,36.0,54,34
West,Female,Postpaid,Light,Medium,Yearly,35.91,1028.16,492.59,35.8,113.0,11,58
South,Male,Postpaid,Heavy,Medium,Monthly,33.33,1102.8,518.97,38.2,125.0,62,24
West,Female,Postpaid,Heavy,Medium,Yearly,47.49,898.39,470.27,25.15,96.0,17,34
South,Other,Prepaid,Heavy,High,Monthly,75.06,728.41,499.29,18.88,144.0,46,40
North-East,Other,Postpaid,Light,High,Yearly,78.67,754.17,390.05,26.39,83.0,65,49
North-East,Female,Postpaid,Moderate,Medium,Monthly,59.62,874.63,552.67,29.84,110.0,65,43
North-East,Other,Postpaid,Heavy,Low,Quarterly,40.47,934.25,669.12,25.85,97.0,58,67
South,Female,Prepaid,Heavy,Low,Yearly,39.11,740.67,577.47,16.84,126.0,35,42
West,Other,Postpaid,Light,Medium,Monthly,42.07,992.43,488.26,21.32,142.0,12,51
North-East,Other,Prepaid,Heavy,Low,Yearly,42.71,1073.2,458.89,17.35,108.0,19,67
Central,Male,Postpaid,Light,Low,Yearly,40.96,379.49,447.56,29.97,98.0,16,63
South,Other,Prepaid,Moderate,Medium,Yearly,35.8,1315.81,467.74,29.31,55.0,46,71
South,Male,Postpaid,Light,High,Yearly,57.02,460.01,621.6,31.68,83.0,8,33
West,Male,Postpaid,Moderate,Low,Quarterly,63.34,1063.77,300.87,30.51,108.0,51,76
South,Female,Postpaid,Moderate,Low,Monthly,38.06,1110.46,655.4,31.49,136.0,53,21
South,Male,Postpaid,Heavy,Low,Yearly,44.06,1158.53,498.41,27.88,100.0,4,45
North-East,Female,Postpaid,Light,High,Quarterly,47.78,803.94,436.01,25.71,108.0,36,32
West,Female,Prepaid,Moderate,High,Monthly,54.98,854.03,307.04,22.62,129.0,59,58
North-East,Male,Prepaid,Heavy,Low,Yearly,93.05,819.83,402.72,25.28,151.0,63,78
North-East,Female,Postpaid,Heavy,Medium,Quarterly,31.85,543.44,422.49,41.72,69.0,10,59
West,Male,Postpaid,Heavy,Low,Quarterly,60.03,879.1,511.85,19.49,67.0,30,57
North,Other,Postpaid,Light,High,Yearly,64.17,1226.95,318.93,25.61,132.0,54,71
North-East,Female,Prepaid,Moderate,Medium,Monthly,84.65,1170.08,430.57,32.03,84.0,67,37
Central,Male,Prepaid,Heavy,Medium,Monthly,48.89,1004.87,467.25,38.64,69.0,44,56
Central,Male,Prepaid,Moderate,High,Yearly,57.17,998.22,509.61,24.36,119.0,16,70
South,Male,Prepaid,Moderate,Low,Quarterly,41.21,873.04,385.87,33.25,104.0,55,74
Central,Male,Prepaid,Light,High,Quarterly,42.08,860.9,587.74,60.33,111.0,26,75
South,Other,Prepaid,Light,Medium,Quarterly,24.97,442.44,432.17,26.61,133.0,56,38
North,Female,Postpaid,Heavy,Medium,Yearly,54.97,901.83,530.64,23.1,163.0,28,34
West,Male,Prepaid,Light,High,Monthly,31.06,418.63,457.55,23.98,59.0,21,55
West,Female,Prepaid,Moderate,Low,Quarterly,58.22,908.64,562.48,29.4,80.0,33,27
West,Male,Prepaid,Light,Low,Yearly,44.0,1040.5,625.29,33.98,87.0,32,42
Central,Female,Prepaid,Light,Low,Quarterly,54.24,1217.67,468.29,30.46,150.0,22,74
North,Male,Prepaid,Moderate,Low,Quarterly,27.34,906.12,489.39,41.69,101.0,71,74
Central,Male,Prepaid,Heavy,Medium,Yearly,37.46,698.53,513.21,23.03,126.0,52,61
Central,Other,Prepaid,Light,High,Monthly,38.19,941.44,370.24,41.87,138.0,4,32
North,Female,Postpaid,Moderate,High,Monthly,50.11,1261.52,586.77,20.08,87.0,27,25
North,Male,Prepaid,Light,High,Quarterly,32.7,376.56,457.55,39.08,116.0,9,74
North,Male,Postpaid,Light,Low,Yearly,44.19,821.18,515.6,33.49,123.0,66,76
North,Other,Postpaid,Heavy,Medium,Quarterly,41.01,1142.81,398.85,7.94,93.0,28,63
West,Other,Postpaid,Heavy,High,Yearly,71.64,1692.57,498.39,32.29,109.0,53,52
East,Other,Postpaid,Light,Low,Yearly,63.22,887.38,574.48,44.46,106.0,35,47
East,Other,Prepaid,Light,High,Yearly,55.5,776.75,441.42,35.66,130.0,67,57
North,Other,Postpaid,Light,Medium,Yearly,35.1,1162.18,508.62,27.54,118.0,16,36
East,Female,Postpaid,Moderate,High,Monthly,46.59,1334.05,602.18,45.86,86.0,55,30
East,Male,Postpaid,Moderate,Low,Yearly,38.44,865.48,493.74,13.88,129.0,64,20
North,Female,Prepaid,Light,High,Yearly,61.23,1184.66,388.41,33.79,96.0,55,57
East,Other,Postpaid,Heavy,Medium,Quarterly,44.38,277.45,423.24,30.09,76.0,35,53
Central,Male,Postpaid,Light,High,Quarterly,30.6,972.95,424.41,18.95,92.0,10,48
South,Female,Postpaid,Moderate,Low,Monthly,42.34,755.16,539.1,35.63,103.0,50,74
South,Other,Postpaid,Moderate,Low,Quarterly,62.02,922.26,470.99,15.16,129.0,24,61
North,Female,Postpaid,Heavy,Medium,Monthly,69.97,963.73,366.79,15.08,177.0,3,78
West,Female,Prepaid,Heavy,High,Monthly,73.04,1430.26,574.19,12.44,136.0,10,40
North,Other,Prepaid,Moderate,Low,Quarterly,45.19,452.9,824.74,29.43,68.0,3,64
West,Male,Postpaid,Light,Medium,Quarterly,57.79,646.92,385.69,22.14,57.0,1,74
South,Other,Prepaid,Heavy,Low,Yearly,62.49,951.96,461.05,21.09,114.0,20,36
North,Other,Prepaid,Light,Medium,Quarterly,44.23,928.98,477.23,37.45,108.0,45,45
North-East,Female,Prepaid,Heavy,Low,Monthly,64.71,1257.49,418.19,39.33,109.0,41,55
Central,Male,Prepaid,Heavy,Low,Monthly,4.99,709.65,353.24,27.91,98.0,16,26
East,Other,Prepaid,Heavy,Low,Quarterly,42.44,973.22,471.52,44.45,96.0,64,59
West,Male,Prepaid,Heavy,Medium,Monthly,79.51,1251.99,443.06,26.76,128.0,63,40
North-East,Female,Postpaid,Moderate,Low,Monthly,67.98,622.5,421.69,23.41,66.0,47,73
East,Other,Postpaid,Moderate,High,Quarterly,45.01,364.71,449.45,33.02,86.0,57,30
East,Male,Postpaid,Heavy,Medium,Monthly,19.0,742.59,339.08,25.73,145.0,40,26
North,Male,Prepaid,Heavy,Medium,Quarterly,38.22,779.88,434.84,44.38,121.0,13,79
East,Female,Postpaid,Moderate,Medium,Yearly,57.89,1193.26,437.05,30.96,129.0,14,34
Central,Male,Postpaid,Heavy,Low,Monthly,74.0,761.14,804.48,36.87,176.0,32,55
North-East,Male,Prepaid,Light,High,Quarterly,44.13,762.55,231.33,30.09,144.0,50,66
East,Male,Postpaid,Light,Medium,Monthly,66.23,923.31,411.17,33.87,79.0,70,60
North,Other,Postpaid,Light,Medium,Yearly,62.32,849.76,435.71,15.76,119.0,56,59
Central,Other,Prepaid,Heavy,Low,Quarterly,36.83,1167.96,484.1,21.85,103.0,20,73
South,Female,Postpaid,Heavy,Medium,Yearly,24.58,713.61,599.98,15.9,71.0,14,64
North-East,Female,Postpaid,Light,Medium,Yearly,48.83,993.89,465.78,45.59,164.0,68,68
East,Other,Postpaid,Light,Medium,Quarterly,67.22,593.5,493.09,34.35,111.0,8,59
North,Male,Postpaid,Light,Medium,Quarterly,46.32,862.58,494.55,33.4,117.0,2,38
South,Other,Prepaid,Moderate,Medium,Quarterly,51.01,980.82,466.26,24.65,126.0,58,56
South,Female,Prepaid,Light,Low,Quarterly,40.63,1358.66,286.65,34.27,127.0,52,67
West,Female,Postpaid,Moderate,Low,Monthly,21.29,861.89,657.77,19.04,98.0,67,75
Central,Other,Postpaid,Light,Medium,Yearly,44.61,1157.51,227.84,23.53,101.0,53,42
East,Female,Prepaid,Light,High,Yearly,57.58,974.79,583.1,34.25,79.0,50,49
North,Female,Prepaid,Moderate,Low,Quarterly,24.3,1371.35,653.62,31.84,113.0,6,35
West,Female,Postpaid,Heavy,Medium,Quarterly,65.58,1050.97,274.9,40.54,125.0,24,53
Central,Female,Prepaid,Moderate,High,Quarterly,52.63,1130.98,516.22,12.27,123.0,32,59
West,Female,Postpaid,Light,High,Yearly,40.35,822.96,648.27,21.02,128.0,57,58
North-East,Male,Postpaid,Heavy,Medium,Quarterly,52.91,1145.27,298.21,20.84,57.0,40,30
Central,Other,Prepaid,Heavy,Medium,Quarterly,59.57,1161.62,406.79,16.38,126.0,55,66
Central,Female,Postpaid,Heavy,High,Monthly,45.96,783.38,414.39,26.25,161.0,11,35
East,Female,Postpaid,Light,Low,Yearly,20.8,1555.24,345.46,46.02,127.0,51,31
Central,Female,Prepaid,Moderate,Low,Yearly,25.42,1015.14,565.44,37.85,138.0,39,64
West,Other,Prepaid,Heavy,Low,Quarterly,55.32,750.9,477.25,27.46,126.0,10,46
Central,Other,Postpaid,Light,High,Yearly,53.72,1273.58,594.91,11.44,145.0,15,51
East,Other,Postpaid,Heavy,High,Monthly,54.81,1210.6,408.9,21.72,71.0,22,25
East,Female,Postpaid,Moderate,High,Monthly,41.01,882.41,422.27,39.97,81.0,37,72
North-East,Female,Postpaid,Heavy,High,Monthly,45.52,743.08,546.46,27.34,101.0,47,19
West,Other,Postpaid,Moderate,Low,Quarterly,62.21,1189.69,602.16,27.59,47.0,66,42
South,Male,Postpaid,Heavy,Medium,Quarterly,69.24,419.6,538.37,31.78,129.0,18,38
South,Male,Postpaid,Heavy,Medium,Yearly,70.97,811.71,611.09,15.63,116.0,67,55
Central,Other,Postpaid,Moderate,Medium,Quarterly,14.99,1188.51,440.24,28.41,128.0,32,44
North-East,Female,Postpaid,Light,High,Quarterly,57.53,1325.6,455.12,47.71,82.0,51,56
North,Female,Prepaid,Heavy,Low,Quarterly,49.98,1227.88,629.91,31.9,114.0,62,33
Central,Male,Postpaid,Heavy,Medium,Yearly,73.1,809.82,493.8,47.29,38.0,20,71
North-East,Female,Prepaid,Heavy,High,Quarterly,60.03,847.59,499.93,16.91,91.0,10,69
West,Other,Prepaid,Light,Low,Quarterly,35.73,1175.87,604.34,26.23,159.0,4,65
West,Female,Prepaid,Moderate,Low,Yearly,63.88,1066.43,596.21,23.48,133.0,16,42
West,Female,Prepaid,Heavy,High,Quarterly,67.0,1140.35,607.41,43.19,64.0,41,68
West,Other,Postpaid,Light,High,Monthly,31.58,764.29,659.16,51.97,102.0,35,55
West,Male,Postpaid,Moderate,Low,Monthly,29.0,1460.17,378.85,22.5,141.0,53,69
North-East,Other,Postpaid,Heavy,Low,Monthly,57.12,705.69,483.11,30.45,57.0,53,74
North-East,Female,Prepaid,Light,High,Yearly,59.89,1209.59,463.87,33.86,127.0,22,57
East,Other,Prepaid,Light,Low,Monthly,58.23,417.89,474.59,37.18,81.0,28,26
South,Other,Prepaid,Light,Medium,Quarterly,45.85,677.71,404.83,34.05,116.0,49,28
West,Male,Prepaid,Moderate,High,Monthly,26.74,1440.11,547.57,12.47,123.0,50,21
North,Male,Postpaid,Moderate,High,Yearly,62.38,623.68,459.85,12.79,122.0,3,44
North-East,Female,Postpaid,Heavy,High,Monthly,53.56,1346.71,378.94,49.85,40.0,23,41
North,Other,Prepaid,Light,Medium,Yearly,25.92,921.94,519.75,31.61,110.0,35,45
North,Female,Prepaid,Light,High,Monthly,60.29,888.32,572.44,32.2,80.0,23,50
North,Other,Postpaid,Moderate,Medium,Monthly,18.07,933.44,562.57,22.82,134.0,54,44
East,Other,Prepaid,Moderate,Low,Quarterly,49.94,1266.12,619.54,34.18,77.0,57,19
North-East,Male,Prepaid,Moderate,High,Quarterly,61.29,1220.82,615.06,28.52,121.0,28,19
North,Other,Postpaid,Heavy,High,Yearly,57.0,635.86,448.67,42.24,77.0,3,77
West,Male,Prepaid,Moderate,High,Yearly,68.7,1568.71,633.59,44.27,101.0,23,18
Central,Other,Postpaid,Heavy,Low,Yearly,68.59,1368.05,267.26,30.49,96.0,64,57
North,Female,Postpaid,Moderate,Low,Monthly,58.48,1011.93,566.33,29.71,117.0,5,42
East,Female,Prepaid,Heavy,Low,Monthly,36.77,1211.77,513.0,40.71,92.0,11,33
North-East,Other,Prepaid,Heavy,Low,Yearly,65.26,1020.83,380.91,45.6,73.0,27,36
East,Male,Prepaid,Moderate,Medium,Monthly,58.72,1232.82,428.4,37.11,115.0,63,34
North,Male,Postpaid,Heavy,Low,Monthly,40.97,1234.57,382.99,24.34,92.0,21,30
North-East,Male,Prepaid,Light,Medium,Yearly,63.35,1012.76,353.49,31.22,120.0,17,28
Central,Other,Postpaid,Light,Low,Yearly,11.41,557.01,566.57,38.95,124.0,57,29
North,Female,Prepaid,Heavy,High,Quarterly,60.35,908.11,713.2,12.01,94.0,41,53
East,Male,Prepaid,Moderate,Low,Monthly,47.03,1571.85,559.9,35.49,82.0,62,28
South,Female,Prepaid,Moderate,High,Monthly,42.7,940.95,521.2,34.12,64.0,66,60
West,Male,Prepaid,Moderate,Medium,Monthly,48.18,1036.71,472.76,22.15,96.0,44,72
East,Other,Postpaid,Heavy,High,Quarterly,68.96,1312.09,609.7,28.01,120.0,54,57
North-East,Other,Postpaid,Light,Medium,Quarterly,54.71,989.93,305.65,30.18,175.0,65,28
North,Male,Prepaid,Moderate,Low,Yearly,54.09,826.58,544.55,27.3,110.0,13,51
West,Female,Prepaid,Moderate,High,Monthly,56.73,910.1,515.51,20.56,112.0,53,79
North,Male,Prepaid,Light,Medium,Yearly,29.89,1251.53,665.63,18.99,112.0,50,68
North-East,Male,Prepaid,Moderate,High,Monthly,73.39,1409.92,417.85,28.93,59.0,8,51
North,Male,Prepaid,Light,Low,Quarterly,67.8,538.74,521.88,19.78,94.0,71,45
South,Female,Postpaid,Moderate,Low,Monthly,45.44,518.75,440.72,20.0,93.0,48,69
West,Male,Prepaid,Moderate,Medium,Monthly,54.61,1098.97,490.27,41.93,138.0,25,57
West,Male,Prepaid,Heavy,Low,Quarterly,44.89,1187.68,536.63,37.91,111.0,19,27
North-East,Other,Prepaid,Light,Medium,Yearly,32.14,1426.78,471.85,34.09,93.0,45,58
South,Female,Prepaid,Heavy,High,Quarterly,33.31,888.44,354.34,40.66,68.0,35,30
East,Other,Prepaid,Light,Low,Monthly,53.45,1410.36,562.26,24.98,105.0,4,52
North,Other,Prepaid,Moderate,Medium,Quarterly,34.3,1448.15,487.56,19.76,87.0,1,71
Central,Male,Prepaid,Moderate,High,Yearly,65.26,1015.98,602.14,28.25,122.0,31,74
North,Male,Prepaid,Heavy,Low,Quarterly,63.86,842.19,508.24,42.63,113.0,45,60
North,Male,Prepaid,Moderate,High,Yearly,64.31,975.48,626.71,33.91,88.0,49,71
East,Other,Postpaid,Light,Medium,Quarterly,50.9,998.23,618.81,42.04,85.0,48,55
North,Female,Postpaid,Light,High,Quarterly,44.25,1029.69,419.97,16.94,101.0,44,24
South,Female,Prepaid,Heavy,Low,Quarterly,45.35,987.64,772.3,25.72,162.0,37,27
South,Other,Postpaid,Moderate,High,Quarterly,56.21,1004.02,593.19,34.01,122.0,70,24
West,Other,Postpaid,Heavy,Medium,Yearly,44.98,1607.44,482.68,30.67,128.0,37,62
North-East,Female,Prepaid,Light,Medium,Yearly,52.72,476.97,420.73,27.33,109.0,41,75
Central,Male,Prepaid,Light,Low,Monthly,45.92,1382.24,545.11,23.82,81.0,22,38
North,Female,Prepaid,Heavy,High,Monthly,49.52,1000.84,583.88,36.76,153.0,4,35
North,Other,Prepaid,Moderate,Medium,Quarterly,23.1,1031.28,602.7,36.08,136.0,33,18
East,Male,Postpaid,Light,High,Yearly,46.11,881.57,480.37,37.13,83.0,23,69
North-East,Male,Prepaid,Light,Medium,Yearly,32.79,1324.94,388.54,35.42,158.0,43,59
South,Female,Postpaid,Heavy,High,Yearly,61.61,200.48,325.85,26.45,104.0,35,62
Central,Male,Postpaid,Light,Low,Yearly,64.6,1313.57,612.02,22.35,90.0,25,61
West,Other,Prepaid,Light,High,Quarterly,39.52,934.94,420.19,31.21,109.0,19,31
South,Female,Prepaid,Light,High,Quarterly,48.67,1606.87,430.05,41.74,90.0,20,33
North-East,Other,Postpaid,Light,Medium,Monthly,53.08,659.18,412.43,27.05,118.0,16,41
West,Other,Prepaid,Heavy,Low,Monthly,48.7,1305.99,399.31,28.15,60.0,40,60
East,Other,Prepaid,Light,Low,Monthly,38.31,645.87,481.81,24.3,95.0,53,51
East,Female,Postpaid,Heavy,Medium,Yearly,62.28,942.31,671.14,38.09,47.0,37,38
North,Other,Prepaid,Light,Medium,Monthly,36.29,800.18,531.88,30.01,107.0,32,51
North-East,Other,Prepaid,Moderate,High,Monthly,33.83,1247.38,433.51,28.47,104.0,3,25
Central,Male,Postpaid,Heavy,High,Quarterly,62.29,926.08,545.52,20.37,178.0,51,62
West,Male,Postpaid,Light,Medium,Quarterly,64.09,1595.63,531.05,31.19,76.0,44,29
South,Other,Postpaid,Heavy,High,Quarterly,62.62,745.61,524.7,37.61,63.0,31,49
North-East,Male,Prepaid,Light,Low,Quarterly,62.09,1263.08,456.55,18.92,104.0,51,76
North-East,Female,Postpaid,Light,Medium,Quarterly,53.13,1091.99,487.87,21.3,86.0,13,55
East,Male,Prepaid,Heavy,High,Yearly,93.5,361.65,338.73,14.52,105.0,14,70
North,Female,Postpaid,Light,Low,Yearly,38.05,879.55,458.41,24.05,88.0,55,78
North,Female,Prepaid,Moderate,Medium,Yearly,51.91,993.44,434.48,20.54,137.0,7,26
West,Male,Postpaid,Light,Low,Monthly,45.83,1124.3,247.64,27.7,118.0,43,30
East,Male,Prepaid,Heavy,Low,Monthly,67.74,603.33,298.62,20.95,120.0,59,58
North-East,Female,Postpaid,Heavy,Low,Yearly,45.18,860.93,437.15,8.63,153.0,6,58
Central,Other,Prepaid,Heavy,Low,Monthly,50.13,1292.09,512.14,48.99,83.0,38,35
East,Other,Prepaid,Moderate,Medium,Yearly,34.62,981.99,448.05,33.12,60.0,20,32
West,Other,Postpaid,Heavy,High,Yearly,51.1,1238.16,478.81,22.69,125.0,62,20
West,Other,Postpaid,Moderate,Low,Quarterly,37.75,1282.56,503.07,21.15,67.0,65,19
East,Male,Postpaid,Heavy,High,Monthly,24.21,1139.44,459.21,28.24,102.0,32,66
West,Male,Postpaid,Heavy,Medium,Quarterly,51.58,669.53,515.72,17.93,105.0,4,27
East,Female,Postpaid,Heavy,Low,Monthly,69.06,1408.32,454.88,45.8,83.0,14,24
South,Female,Prepaid,Heavy,Low,Yearly,47.33,1160.67,431.45,33.15,116.0,26,52
East,Other,Prepaid,Heavy,Medium,Quarterly,63.84,1382.56,505.18,31.68,76.0,45,60
East,Female,Postpaid,Light,Low,Quarterly,65.76,1058.19,426.29,30.98,138.0,7,28
West,Male,Postpaid,Moderate,High,Monthly,55.16,736.09,434.06,15.63,71.0,53,59
West,Other,Postpaid,Light,Low,Monthly,72.79,1236.3,464.69,47.16,134.0,41,39
North,Other,Postpaid,Heavy,High,Quarterly,32.69,1229.17,458.09,24.91,89.0,58,68
North,Other,Postpaid,Heavy,Medium,Quarterly,37.44,1103.28,758.05,28.29,107.0,7,78
South,Female,Prepaid,Moderate,Medium,Monthly,47.84,87.61,355.75,41.22,47.0,25,49
North,Other,Prepaid,Moderate,High,Monthly,47.66,945.86,570.4,19.62,122.0,65,20
East,Male,Postpaid,Moderate,Low,Yearly,78.62,1452.85,494.75,42.85,146.0,20,22
West,Other,Postpaid,Moderate,Low,Quarterly,69.51,1178.72,225.42,21.97,119.0,53,71
North,Female,Postpaid,Heavy,Low,Yearly,52.04,1224.16,545.41,36.68,73.0,12,65
North,Female,Postpaid,Heavy,Low,Quarterly,48.71,566.25,359.85,5.09,94.0,23,54
South,Other,Prepaid,Moderate,Medium,Quarterly,47.17,1329.87,518.17,47.38,135.0,23,67
North-East,Other,Postpaid,Heavy,Low,Quarterly,59.87,1100.8,536.93,48.62,89.0,46,24
South,Female,Postpaid,Light,High,Yearly,27.07,983.32,414.41,32.69,97.0,23,50
East,Male,Postpaid,Light,Medium,Quarterly,10.01,1008.6,472.69,22.29,87.0,55,47
West,Male,Prepaid,Light,Low,Yearly,50.91,634.58,646.52,39.31,79.0,9,75
South,Other,Prepaid,Light,Low,Monthly,52.34,1237.01,530.73,43.37,129.0,10,39
North,Other,Prepaid,Heavy,Medium,Quarterly,64.32,1002.16,442.14,35.14,54.0,37,32
West,Other,Prepaid,Heavy,Medium,Monthly,54.21,870.56,440.14,18.48,110.0,8,50
West,Female,Prepaid,Light,Low,Quarterly,44.58,905.65,502.69,21.78,135.0,15,70
North,Female,Postpaid,Light,Medium,Yearly,56.33,1179.25,503.63,30.35,93.0,44,68
South,Other,Postpaid,Moderate,Low,Monthly,32.09,488.11,486.06,31.8,69.0,68,61
North,Female,Prepaid,Moderate,High,Monthly,11.38,858.1,606.86,20.45,70.0,5,68
North-East,Female,Prepaid,Moderate,High,Yearly,33.83,877.17,427.47,19.25,30.0,59,72
West,Male,Prepaid,Light,Medium,Monthly,41.07,1311.84,497.44,58.24,105.0,17,40
Central,Female,Prepaid,Moderate,Medium,Yearly,63.68,1380.08,340.78,34.38,127.0,31,34
Central,Other,Postpaid,Light,High,Yearly,41.3,941.17,418.79,23.52,80.0,61,22
East,Male,Prepaid,Heavy,Low,Monthly,61.96,1315.83,420.33,29.23,98.0,67,21
